nazwa,email,adresWWW,telefon,powiat
Samorządowy żłobek w Baranowie Sandomierskim,zlobek@baranowsandomierski.pl,zlobekbaranowsandomierski.pl,158460399,Tarnobrzeski
Bajkowy żłobek,rekrutacja@bajkowyzlobek.com,http://www.bajkowyzlobek.com,533523231,Stalowowolski
Niepubliczny Żłobek MiniJa,grupa.aim@gmail.com,,693631091,Rzeszów
Maluszkowo,maluszkowo.w2@gmail.com,"Adres korespondencyjny: Rzeszów, ul.Krajobrazowa 20/E2",576363014,Dębicki
Żłobek Nr 12 ŻWIREK i MUCHOMOREK,zlobek12@mzz.resman.pl,mzz.resman.pl,177481136,Rzeszów
Żłobek Miejski w Sędziszowie Małopolskim,zlobek@sedziszow-mlp.pl,http://www.sedziszow-mlp.pl,887409940,Ropczycko-sędziszowski
KLUB DZIECIĘCY MAŁE KROCZKI JUSTYNA KOŁODZIEJ,malekroczki.klub@gmail.com,,782431316,Rzeszowski
ZŁOBEK MIEJSKI,dyrektor@zlobeknisko.pl,http://www.zlobeknisko.pl,579471303,Niżański
Publiczny Żłobek nr 2 w Krasnem,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,517515555,Rzeszowski
Prywatny Tęczowy Oddział Żłobkowy Zofia Zwolińska,zofia.zwolinska1@o2.pl,,511006901,Przemyski
Żłobek Jaś i Małgosia 2,jasimalgosia.ewa@gmail.com,http://www.jas-malgosia.com,609214208,Łańcucki
Niepubliczny Żłobek Monte,ag.tereszkiewicz@gmail.com,http://zlobekmonte.pl/,733037545,Rzeszowski
Żłobek Nr 9  PUCHATEK,zlobek9@mzz.resman.pl,mzz.resman.pl,177481140,Rzeszów
NIEPUBLICZNY ŻŁOBEK MAŁY MARSZAŁEK,malymarszalek24@gmail.com,http://WWW.MALYMARSZALEK.EDU.PL,880761781,Dębicki
Prywatny Żłobek Truskawkowe Ranczo Marcin Cichoński,truskawkowerancza@gmail.com,,506039534,Przemyski
Prywatny Żłobek Truskawkowe Ranczo,truskawkowerancza@gmail.com,,506039534,Przemyski
Żłobek Samorządowy w Woli Zarczyckiej,z_wz@nowasarzyna.eu,http://www.nowasarzyna.eu,172417015,Leżajski
Niepubliczny żłobek  Mały Miś,niepubliczny.malymis@wp.pl,,663861694,Kolbuszowski
Żłobek Samorządowy w Lesku,zlobek.lesko@gmail.com,http://www.lesko.pl,604619255,Leski
EncePence II,encepence.lancut@gmail.com,,782750782,Łańcucki
żłobek Calineczka,biuro@radosne-dziecko.pl,http://www.radosne-dziecko.pl,513173511,Mielecki
Klub Dziecięcy Bajkowy Dworek w Boratynie,bajkowydworek@chlopice.pl,http://www.chlopice.pl,669349846,Jarosławski
Klub Dziecięcy w Wólce Łętowskiej,klubdzieciecywl@gmail.com,http://www.nowasarzyna.eu,507433645,Leżajski
Klub Dziecięcy Mały Jeżyk w Jeżowem,klub.malyjezyk@jezowe.pl,http://www.jezowe.pl,500779442,Niżański
Przedsiębiorstwo usługowe Iskierki Milena Kamińska,iskierkipu@gmail.com,,883113353,Rzeszów
Żłobek Kocie Łapki,kocielapki.zlobek@gmail.com,,662880726,Strzyżowski
Publiczny Żłobek w Wielkich Oczach,zlobek@wielkieoczy.pl,,845432921,Lubaczowski
Publiczny Żłobek w Wadowicach Górnych,zlobek@wadowicegorne.pl,,146665707,Mielecki
Żłobek w Jamnicy,dyrektor@zlobekjamnica.pl,https://zlobekjamnica.pl,664420303,Tarnobrzeski
Publiczny Żłobek  Nr 1 w Krasnem,zlobek@gminakrasne.pl,https://zlobekkrasne.edupage.org,172300375,Rzeszowski
Żłobek Samorządowy,zlobekuherce@gminaolszanica.pl,http://www.olszanica.pl,134618026,Leski
Żłobek KAMON,przedszkolekamon@gmail.com,,726290818,Przemyśl
Akademia Maluszka Słodki bobasek s.c,kontakt@slodkibobasek.pl,http://www.slodkibobasek.pl,695761799,Rzeszowski
Akademia Maluszka Słodki Bobasek,kontakt@slodkibobasek.pl,http://WWW.SLODKIBOBASEK.PL,695761799,Rzeszowski
Żłobek Niepubliczny Mistrzowie Zabawy,jolanta.kordas.mistrzowiezabawy@gmail.com,https://www.przedszkolemistrzowiezabawy.mielec.pl/,506581688,Mielecki
Publiczny Żłobek w Iwierzycach,zlobek@iwierzyce.pl,Iwierzyce.pl,667788037,Ropczycko-sędziszowski
Gminny Żłobek BAJKOWA KRAINAw Roźwienicy,biuro@bajkowakraina.naszzlobek.com,https://bajkowakraina.naszzlobek.com/,510626030,Jarosławski
Niepubliczny Żłobek Językowo - Artystyczny Little ARTists,sekretariat@przedszkole-little-artists.pl,http://www.przedszkole-little-artists.pl,789566692,Sanocki
Niepubliczny Żłobek Motylek,motylekkrosno@interia.pl,http://przedszkolemotylek.krosno.pl/,502369086,Krośnieński
Samorządowy żłobek w Muninie,munina237@wp.pl,gminajaroslaw.pl,166231295,Jarosławski
Niepubliczny Żłobek Stokrotka,kontakt.przedszkolestokrotka@gmail.com,http://www.stokrotka-krosno.pl,609007181,Krosno
Żłobek w Bliznem,blizne@zlobek.jasienicarosielna.pl,http://www.jasienicarosielna.pl,133061587,Brzozowski
Niepubliczny Integracyjny Żłobek NIBYLANDIA Sp. z o.o.,agnieszka.jucha7@gmail.com,https://nibylandia-lancut.pl/,663935577,Łańcucki
Żłobek  Leśny Domek,Zlobeklesny-domek484@wp.pl,,790252432,Leżajski
Niepubliczny Żłobek PINOKIORZESZOW sp. z o.o.,pinokiorzeszow@wp.pl,,606475850,Rzeszów
Publiczny Żłobek w Czudcu Oddział Babica,zlobek@czudec.pl,http://www.czudec.pl,172508515,Strzyżowski
Gminny Żłobek w Ulanowie,zlobek@ulanow.pl,,577039222,Niżański
Niepubliczny Żłobek Słoneczny Zakątek,ewelina_mok@o2.pl,https://sloneczny-zakatek.pl/,533038500,Kolbuszowski
Niepubliczny Żłobek Guziczek,krosno@zlobek-guziczek.pl,,662828983,Krosno
FILIA żłobka nr 7,zlobek7@mzz.resman.pl,mzz.resman.pl,177481940,Rzeszów
Żłobek Przystań Malucha ENWAT Marek Bagniak,przystan-malucha@enwat.eu,,577720666,Leżajski
Samorządowy Żłobek w Białobrzegach,zlobek@gmina-bialobrzegi.pl,,177715015,Łańcucki
Żłobek Gminny w Brzezówce,dyrektor@zlobekbrzezowka.pl,http://www.ropczyce.eu,172212197,Ropczycko-sędziszowski
Miejsko - Gminny Żłobek w Strzyżowie,miejskogminnyzlobekstrzyzow@gmail.com,http://www.strzyzow.pl,533572429,Strzyżowski
Żłobek Miejski na Os. Mehoffera w Ropczycach,sekretariat@zlobekmehoffera.pl,http://www.zlobekmehoffera.pl,177222811,Ropczycko-sędziszowski
Klub Malucha w Brzyskach,klub.dzieciecy@brzyska.pl,brzyska.pl,134460105,Jasielski
Żłobek Miejski Nr 3 w Stalowej Woli,zm3@stalowawola.pl,http://www.stalowawola.pl,693101369,Stalowowolski
Montessori Jasło - Żłobek Chatka Puchatka,chatkajaslo@gmail.com,,534771716,Jasielski
Żłobek w Giedlarowej,zlobek@poczta.gminalezajsk.pl,https://samorzad.gov.pl/web/gmina-lezajsk,534483231,Leżajski
"Publiczny Żłobek w Rożniatowie Rożniatów 5a, 37-205 Zarzecze",maluch@zarzecze.itl.pl,http://www.gminazarzecze.pl,166401055,Przeworski
Żłobek w Kamieniu,kamien@ops.net.pl,,172499421,Rzeszowski
Gminny Żłobek w Majdanie Królewskim,sekretariat@majdankrolewski.pl,http://www.majdankrolewski.pl/,158471074,Kolbuszowski
Żłobek w Żołyni,zlobek@zolynia.pl,http://www.zolynia.pl,884428903,Łańcucki
Publiczny Żłobek w Czudcu,zlobek@czudec.pl,http://www.czudec.naszzlobek.com,172508515,Strzyżowski
Żłobek Miejski w Jaśle,kontakt@jaslozlobek.pl,https://jaslozlobek.pl/,+48134450630,Jasielski
Samorządowy Żłobek PROMYCZEK,promyczek@edu.bukowsko.pl,http://www.bukowsko.pl,+48726229408,Sanocki
Niepubliczny Żłobek Wesołe Perełki,beata.lonc@adres.pl,,786136298,Przemyski
Prywatny żłobek Zielony Motylek,juliaszargut@zielonymotylek.pl,http://www.zielonymotylek.pl,698540532,Rzeszów
Żłobek Bajkolandia oddział Wierzawice,l.bajkolandia@interia.pl,http://www.bajkolandia.lezajsk,889035656,Leżajski
Gminny Żłobek w Krajowicach,dyrektor@krajowicezlobek.pl,,134915522,Jasielski
Żłobek Gminny w Pysznicy,zlobek@pysznica.pl,pysznica.pl,158410086,Stalowowolski
Żłobek MALUSZKOWO w Kielanówce,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,517515555,Rzeszowski
Samorządowy Żłobek w Sobiecinie,spsuro@op.pl,gminajaroslaw.pl,166224791,Jarosławski
Publiczny Żłobek Samorządowy w Czarnej,dyrektor@zlobekczarna.pl,http://www.zlobekczarna.biuletyn.net,177715566,Łańcucki
Gminny Żłobek Dziecięcy Dwór w Kębłowie,zlobek@padewnarodowa.com.pl,http://www.padewnarodowa.com.pl,+48452513192,Mielecki
Żłobek Kraina Marzeń w Gniewczynie Łańcuckiej,krainamarzen@tryncza.eu,http://www.tryncza.eu,797527191,Przeworski
Samorządowy Żłobek w Haczowie,zlobek@haczow.pl,zlobek.haczow.pl,579497040,Brzozowski
ŻŁOBEK KRAINA SŁODZIAKÓW,zlobekjaslo@gmail.com,,533998780,Jasielski
Super Żłobek Tosia i Ja,biuro@grupampd.pl,http://www.tosiaija.pl,606943436,Rzeszów
Publiczny Żłobek Lolek w Woli Rzeczyckiej,oswiata@radomysl.pl,http://www.radomysl.pl,158431120,Stalowowolski
Żłobek Gminny w Pustkowie - Osiedlu,zspustkowosiedle@gzeas.pl,ugdebica.pl,146818811,Dębicki
NIEPUBLICZNY ŻŁOBEK ŻŁOBEK MONTESSORI,info@montessori.rzeszow.pl,http://WWW.MONTESSORI.RZESZOW.PL,787687011,Rzeszów
Klub Malucha Wesołe Skrzaty w Cmolasie,cmolas@cmolas.pl,http://www.cmolas.pl,172837702,Kolbuszowski
Żłobek Publiczny w Pruchniku,zlobek@gminapruchnik.pl,http://www.gminapruchnik.pl,+48166288072,Jarosławski
Gminny Żłobek w Świerchowej,zlobekswierchowa@osiekjasielski.pl,http://www.osiekjasieslki.pl,134420005,Jasielski
Żłobek Niepubliczny Akademia Małego Geniusza,biuro.akademiageniusza@gmail.com,,511519076,Sanocki
Żłobek Baltima Montessori w Łukawcu,edukacjabaltima@gmail.com,przedszkole-baltima.pl,692037591,Rzeszowski
Niepubliczny Żłobek Kraina Odkrywcy 2,dyrektor@przedszkolekrainaodkrywcy.pl,,535316828,Rzeszów
Żłobek Samorządowy MAŁY MIŚ w Gorliczynie,psgorliczyna@wp.pl,,163000315,Przeworski
Żłobek Maluszkolandia,maluszkolandia.mielec@gmail.com,,172506525,Mielecki
Żłobek Chmurka,zlobekchmurka@gmail.com,,733649388,Krośnieński
Żłobek Samorządowy w Chmielniku,zlobek@chmielnik.pl,http://www.chmielnik.pl,172304240,Rzeszowski
Bociuś Niepubliczny Żłobek w Posadzie Zarszyńskiej,beata.szalankiewicz@o2.pl,,504864686,Sanocki
Żłobek Gminny,zlobek@nowyzmigrod.eu,nowyzmigrod.eu,134415616,Jasielski
Żłobek Samorządowy w Niebylcu,zlobekniebylec@wp.pl,http://www.niebylec.pl,177462088,Strzyżowski
Kreatywni Odkrywcy,lukaszhamryszczak@gmail.com,,691107880,Przemyśl
Niepubliczny Żłobek Mali Odkrywcy,maliodkrywcy.mielec@gmail.com,,883077309,Mielecki
ŻŁOBEK SAMORZĄDOWY W BESKU,zlobek@besko.pl,http://www.besko.pl,514288386,Sanocki
Żłobek Samorządowy w Siedliskach Kolorowe Świetliki,biuro@maluszkowo.com.pl,http://www.maluszkowo.com.pl,517515555,Rzeszowski
Klub Dziecięcy Leśna Kraina w Adamówce,cus@adamowka.pl,https://cus.adamowka.pl/,168889670,Przeworski
Publiczny Żłobek Arka w Żurawicy,zuragmina@zurawica.pl,,166713378,Przemyski
Żłobek Samorządowy przy Domu Ludowym,e.pelc@ugorly.pl,,+48530456505,Przemyski
Bajkowy Żłobek,bogusia.st@onet.pl,,604429156,Przeworski
